# THE LONG NIGHT — entity glyph table
# Owner: Jane. Machine-readable. John: parse this, don't hardcode glyphs.
# Tab-separated. Lines starting with # are comments. Blank lines ignored.
#
# colour  = mask-palette char, see assets/README.md
# speed   = world units per second (isotropic; see design.md §5)
# power   = contact damage to player
# cost    = advisory threat rating. NOT the spawn currency — see director.tsv for why
#           (weighting spawn choice by cost made the rare Stalker the commonest enemy).
# from    = earliest spawn time, mm:ss ("-" = never from the budget, scripted/boss only)
# xp      = motes dropped
# hit_rad = collision radius in WORLD UNITS. NOT the sprite's bounding box.
#           Enemies ~= their sprite's inner mass. The PLAYER's is deliberately
#           smaller than his sprite (1.2 wu inside a 5x5 hooded figure): being hit
#           should feel like being caught, not near. Replaces MASS_SCALE.
#
# THREE LAWS GOVERN THIS TABLE AND THE ART IT POINTS AT (design.md §9, §10, §14).
# I broke all three, for weeks, and only found them by dumping a real frame.
#
# 1. THE WARDEN'S ALPHABET. The characters `@ / \ |` belong to the player and to
#    no one else. Seven of nine mobs used to draw their limbs with `/ \ |` -- so
#    in a crowd the `@` sat inside a hedge of its own strokes and vanished, even
#    though John draws the player last and on top. Drawing on top buys nothing
#    when the neighbours are made of you. Sprites over 5x3 (the Countess) are
#    exempt: size already tells you what you are looking at.
#
# 1b. AND EVERYTHING THE PLAYER EMITS IS PART OF THAT ALPHABET. A bolt, an ember,
#    a band, a ring -- the things you fire are as much "you" as the `@` is. The
#    Blood Wisp was drawn `(*)` over `'.'` while the starting bolt renders as `*`
#    fading to `.`. The one enemy that ignores enemy collision, and so is the one
#    that reaches you through the pile, was drawn out of your own projectile.
#    The wisp moved. The bolt did not: the bolt is there from second zero of
#    every run, and the wisp arrives at 12:00 in some of them. Seniority, and
#    ownership, both point the same way.
#
#    Reserved to the player: `@ / \ |` (and lookalikes `│┃╎┆⎸｜╱╲⁄∕`),
#    `*` the bolt, `°` a Cinder ember, `═ ─` a band.
#    Reserved to the numbers layer: the digits `0`-`9` (design.md §14).
#    Reserved to XP: `·` the mote. `.` IS RETIRED -- nothing in the game draws a
#    baseline dot, because at a glance it is the mote, and the mote is XP.
#
# 2. THE LUMINANCE LADDER. Nothing an enemy is made of may be brighter than an
#    XP mote. The player is the only thing above the XP.
#
#      player @  1.00   (bright white `W`, sole occupant)
#      XP        0.74   (`C` bright cyan -- must be findable in blood)
#      enemies  <=0.55  (`e` grey, `s` bone, `r`/`y`/`m` hues)
#      ground    0.26
#      gore     <=0.15
#
#    Mob heads were `w` white = 0.78. Twelve rats out-shouted every mote on the
#    floor. Elites and the boss are the licensed exception -- there is one of
#    them, it has a health bar, and it is what you should be looking at.
#
# id	glyph	name	colour	hp	speed	power	cost	from	xp	hit_rad	notes
#--------------------------------------------------------------------------------------
player	@	The Warden	W	100	20	0	-	-	0	1.2	bright white, bold; nothing else may be bright white
ashling	&	The Ashling	W	70	24	0	-	-	0	1.2	unlockable character
beggar	%	The Beggar	W	100	20	0	-	-	0	1.2	unlockable character

ghoul	g	Ghoul	e	10	9	4	1	0:00	1	1.4	walks straight at player
rat	r	Grave Rat	s	2	14	2	1	0:30	1	0.8	spawns in packs of 12+
bat	w	Bat	r	5	26	3	2	2:00	1	0.9	sine-wave drift, amplitude 6wu period 1.2s
wight	W	Wight	e	40	6	9	5	4:00	2	2.2	advances in a line
rattlejack	x	Rattlejack	y	16	11	6	4	8:00	2	1.4	on death spawns 2 rats
wisp	o	Blood Wisp	R	12	16	5	4	12:00	2	1.3	ignores enemy-enemy collision. was `*` -- that is the Warden's bolt (law 3)
stalker	S	Stalker	m	30	18	12	9	14:00	5	2.0	INVISIBLE outside light radius; show ? at light edge 1.0s before entry

gravewarden	G	Gravewarden	Y	600	7	16	0	-	40	3.4	ELITE. bold+bright, hp bar above, drops chest. scripted only.
countess	M	The Countess	R	9000	10	25	0	-	200	7.0	BOSS. drawn from sprites/countess.txt (28x11, 2 frames); glyph M is only the loader fallback. spawns 19:00, clock stops.

# --- pickups (not enemies; same table so John has one parser) ---
mote1	·	XP Mote	C	-	0	0	-	-	1	0	merges with adjacent motes -> mote5
mote5	+	XP Shard	C	-	0	0	-	-	5	0	merges -> mote20
mote20	◆	XP Heart	C	-	0	0	-	-	20	0	does not merge further
gold	$	Gold	Y	-	0	0	-	-	0	0	1-in-50 kills, all chests/elites
chest	▄	Chest	Y	-	0	0	-	-	0	0	from elites; triggers evolution if eligible
heal	♥	Roast Chicken	G	-	0	0	-	-	0	0	rare drop, heals 30

# --- decals (gore layer, design.md §9) --------------------------------------
# age is seconds since the kill. Decals never collide, never move, never think.
#
# READABILITY LAW (design.md §9): the floor may never be brighter than the things
# standing on it, and a decal may never share a glyph with anything that acts.
# The old table broke both. It used bright red `R` for fresh gore -- brighter than
# most enemies -- and its glyphs `*`, `%` and `.` were also the Blood Wisp, the
# Beggar, and Cinder Trail's embers. Three things on screen, one character each,
# no way to tell them apart. Gore is now SHADING (`▒`/`░`), which nothing else
# uses, and it fades toward black instead of glowing.
#
# TODO(John): I want dried-blood maroons here, not `r` then a jump to near-black.
# Please add one palette letter -- `d` = #5a1616 -- or let this column take
# `#rrggbb` (parseColor already exists). Then decal1 becomes `d` and decal2 `#2a0c0c`.
#
# Lifetime dropped 90s -> 60s and only `gore_chance` of kills leave a mark at all
# (director.tsv). At 18:00 that takes floor coverage from ~33% to ~8%.
#
# decal	glyph	colour	age_from	age_to
decal0	▒	r	0	10
decal1	░	r	10	30
decal2	░	k	30	60
