# THE LONG NIGHT — weapon table
# Owner: Jane. Machine-readable. John: parse this, don't hardcode weapon numbers.
# Tab-separated. '#' comments and blank lines ignored.
#
# One row per (weapon, level). Values are ABSOLUTE, not deltas — no formula for
# you to reimplement, and I can hand-tune any single cell.
#
# ALL DISTANCES ARE WORLD UNITS. design.md §5: 1 cell = 1 wu wide x 2 wu tall.
# A band 6 wu tall renders as 3 rows. A ring of radius r draws as an ellipse
# rx=r, ry=r/2 cells.
#
# shape    ax                ay              pspeed
# ------   ---------------   -------------   -----------------
# band     width (wu)        height (wu)     -
# bolt     hit radius        hit radius      wu/s, homing
# ring     radius            radius          -
# arc      burst radius      burst radius    wu/s, lobbed
# orbit    orbit radius      hit radius      degrees/s
# column   width (wu)        height (wu)     -
# trail    ember radius      ember radius    -
#
# cd=0 means "always on" (orbit). pierce 99 = effectively infinite.
# dur = lifetime of the effect in seconds (bolts, embers, columns).
# count = simultaneous instances (bolts fired, orbiting motes, columns).
#
# LEVEL 9 IS THE EVOLVED FORM. Each weapon has exactly one evolution, so no new
# schema is needed. Level-up cards must NEVER offer level 9 -- it is granted only
# by opening a chest while the weapon is at 8 and its paired passive is owned.
# Evolving is a whole tier, not a level: dmg x1.70, cooldown x0.75, area x1.30,
# infinite pierce, plus the clause. It has to be FELT.
#
# COLOURS obey design.md §9: bright white is the player's, bright cyan is XP's,
# bright yellow is reward's, bright green is healing's. A weapon may not take one.
#
# ###  THE `note` COLUMN IS PLAYER-FACING COPY. IT IS PRINTED ON THE LEVEL-UP CARD.  ###
# ###  BUDGET: 36 CHARACTERS, AND IT MUST WORD-WRAP INTO TWO LINES OF TWENTY.        ###
#
# upgrades.ts prints `note` verbatim as the card's effect line. It is not a
# comment field. Until 10.07 it held our engineering shorthand, so a player
# offered the Wisp Lantern read:
#     "ax = orbit radius, ay = hit radius, pspeed = deg/s"
# and a player offered The Chain read "no longer the starting weapon."
#
# THE BUDGET, added later the same day. The card is 24 columns wide (MIN_COLS is 80,
# and 3x24 + 2x3 = 78), so app.ts:504 hands the sentence 20 columns -- and TRUNCATED.
# 17 of these 28 notes were cut, including every level-1 introduction, the one line
# whose whole job is to explain a weapon the player has never seen:
#     "Fires a seeking bolt at the nearest enemy."  reached the player as
#     "Fires a seeking bo..."
#
# 36 chars is a gift, not a tax. That note is now "A bolt seeks the nearest enemy."
# and it is better copy. Forty characters was never a sentence anyone reads in two
# seconds; it was prose in a spreadsheet cell because nothing pushed back.
#
# Write it as one short sentence, for the player, in the game's voice.
# Leave it BLANK on a level that only moves numbers -- the card then falls back
# to "17 damage · 1.02s cooldown", which is exactly what the player wants there.
# Engineering commentary goes in `#` lines like this one, where nobody can ship it.
#
# id	level	name	glyph	colour	shape	cd	dmg	ax	ay	pierce	knock	dur	count	pspeed	note
chain	1	The Chain	=	w	band	1.1	10	12.0	6.0	99	4	0.12	2	0	Sweeps a wide band to either side.
chain	2	The Chain	=	w	band	1.05	12	12.7	6.4	99	4	0.12	2	0	
chain	3	The Chain	=	w	band	1.0	14	13.4	6.7	99	4	0.12	2	0	
chain	4	The Chain	=	w	band	0.95	15	14.2	7.1	99	4	0.12	4	0	Adds a second band. Now a cross.
chain	5	The Chain	=	w	band	0.9	17	14.9	7.4	99	4	0.12	4	0	
chain	6	The Chain	=	w	band	0.85	19	15.6	7.8	99	4	0.12	4	0	
chain	7	The Chain	=	w	band	0.8	21	16.3	8.2	99	4	0.12	4	0	
chain	8	The Chain	=	w	band	0.75	23	17.0	10	99	4	0.12	4	0	The bands grow taller.
chain	9	The Chain	=	w	band	0.56	39	22.1	13.0	99	4	0.12	4	0	The circle closes. It never misses.

nova	1	Sanguine Nova	*	R	bolt	1.4	8	2.0	2.0	1	1	2.0	1	40	A bolt seeks the nearest enemy.
nova	2	Sanguine Nova	*	R	bolt	1.34	9	2.1	2.1	1	1	2.0	1	40	
nova	3	Sanguine Nova	*	R	bolt	1.27	11	2.2	2.2	1	1	2.0	2	40	A second bolt.
nova	4	Sanguine Nova	*	R	bolt	1.21	12	2.4	2.4	1	1	2.0	2	40	
nova	5	Sanguine Nova	*	R	bolt	1.15	14	2.5	2.5	1	1	2.0	2	40	
nova	6	Sanguine Nova	*	R	bolt	1.08	15	2.6	2.6	1	1	2.0	3	40	A third bolt.
nova	7	Sanguine Nova	*	R	bolt	1.02	17	2.7	2.7	1	1	2.0	3	40	
nova	8	Sanguine Nova	*	R	bolt	0.96	18	2.8	2.8	2	1	2.0	3	40	Bolts punch through enemies.
nova	9	Sanguine Nova	*	R	bolt	0.72	31	3.6	3.6	99	1	2.0	3	40	Each bolt chains to four targets.

censer	1	Censer	~	g	ring	0.5	3	8.0	8.0	99	0	0	1	0	A burning ring turns around you.
censer	2	Censer	~	g	ring	0.48	4	8.5	8.5	99	0	0	1	0	
censer	3	Censer	~	g	ring	0.46	4	9.0	9.0	99	0	0	1	0	
censer	4	Censer	~	g	ring	0.43	5	9.4	9.4	99	0	0	1	0	
censer	5	Censer	~	g	ring	0.4	5	9.9	9.9	99	0	0	1	0	The ring bites faster.
censer	6	Censer	~	g	ring	0.4	6	10.4	10.4	99	0	0	1	0	
censer	7	Censer	~	g	ring	0.4	6	10.9	10.9	99	0	0	1	0	
censer	8	Censer	~	g	ring	0.4	7	11.4	11.4	99	0	0	1	0	
censer	9	Censer	~	g	ring	0.3	12	14.8	14.8	99	0	0	1	0	The ring sets the floor alight.

gravesalt	1	Grave Salt	^	s	arc	1.6	14	5.0	5.0	3	2	1.2	1	30	Lobs salt that shatters on impact.
